Booking_ID,Booking_Date,Travel_Date,Lead_Time,Category,Travel_Type,Customer_Type,City_From,City_To,Booking_Channel,Payment_Mode,Base_Price,Discount_%,Cancellation_Status,Refund_%,Rating,Repeat_Customer,Booking_Hour,Festival_Season
BKG00033,26-10-2024,04-11-2024,9,Holiday Package,Domestic,Solo,Chennai,Jaipur,App,Wallet,77360,15,0,0,1,Yes,4,Summer
BKG00034,07-02-2024,07-05-2024,90,Train,Domestic,Business,Chennai,Goa,Website,Wallet,2111,5,1,80,5,No,12,Normal
BKG00035,04-09-2025,11-10-2025,37,Flight,Domestic,Business,Chennai,Jaipur,Website,Debit Card,6789,20,1,80,1,Yes,19,Christmas
BKG00036,29-03-2025,20-06-2025,83,Flight,Domestic,Family,Hyderabad,Mumbai,Website,Wallet,6306,5,1,80,1,No,9,Diwali
BKG00037,19-08-2025,21-09-2025,33,Train,Domestic,Solo,Bangalore,Hyderabad,App,Credit Card,1113,10,0,0,4,Yes,17,Diwali
BKG00038,25-06-2024,10-07-2024,15,Hotel,International,Couple,Bangalore,Dubai,Website,Credit Card,41756.4,15,0,0,4,Yes,7,Normal
BKG00039,26-10-2025,08-01-2026,74,Train,Domestic,Family,Bangalore,Mumbai,App,UPI,3603,20,0,0,1,Yes,14,Normal
BKG00040,17-10-2025,07-12-2025,51,Holiday Package,International,Couple,Chennai,London,App,Credit Card,51517.8,20,0,0,2,No,9,Normal
BKG00041,08-02-2025,25-02-2025,17,Hotel,International,Couple,Hyderabad,London,Website,UPI,14308.2,10,0,0,5,Yes,21,Normal
BKG00042,16-02-2025,20-02-2025,4,Flight,Domestic,Couple,Chennai,Bangalore,Website,Debit Card,9648,5,0,0,4,No,6,Diwali
BKG00043,15-01-2024,31-03-2024,76,Flight,International,Family,Bangalore,Singapore,App,Debit Card,22665.6,5,0,0,3,Yes,13,Normal
BKG00044,10-05-2025,14-05-2025,4,Train,Domestic,Couple,Delhi,Delhi,Website,UPI,2984,15,1,80,4,No,2,Normal
BKG00045,01-06-2025,21-08-2025,81,Hotel,Domestic,Family,Mumbai,Chennai,Website,Wallet,6486,15,0,0,3,No,16,Normal
BKG00046,03-03-2025,06-03-2025,3,Train,Domestic,Solo,Hyderabad,Jaipur,Website,Wallet,2573,0,0,0,2,No,9,Normal
BKG00047,10-08-2025,17-09-2025,38,Flight,Domestic,Couple,Delhi,Goa,App,Credit Card,12386,5,0,0,4,No,7,Normal
BKG00048,21-03-2025,17-06-2025,88,Flight,Domestic,Couple,Bangalore,Hyderabad,Website,UPI,5166,10,0,0,2,Yes,11,Normal
BKG00049,01-08-2024,27-10-2024,87,Hotel,International,Family,Hyderabad,London,App,UPI,17004.6,15,0,0,4,Yes,12,Normal
BKG00050,31-10-2024,16-01-2025,77,Flight,Domestic,Solo,Bangalore,Mumbai,App,NetBanking,13819,0,0,0,4,Yes,4,Normal
BKG00051,22-08-2024,17-10-2024,56,Holiday Package,International,Couple,Hyderabad,Dubai,Website,Debit Card,37024.2,0,1,80,2,Yes,5,Normal
BKG00052,24-02-2024,29-02-2024,5,Train,International,Couple,Delhi,Bangkok,Website,UPI,5407.2,20,0,0,3,No,14,Normal
BKG00053,07-04-2024,05-07-2024,89,Hotel,International,Couple,Bangalore,Bangkok,App,Credit Card,37294.2,10,1,80,5,Yes,13,Normal
BKG00054,30-11-2024,28-12-2024,28,Hotel,Domestic,Family,Hyderabad,Bangalore,App,Credit Card,14659,0,1,80,4,Yes,2,Normal
BKG00055,13-05-2024,08-08-2024,87,Holiday Package,Domestic,Business,Hyderabad,Goa,App,Credit Card,50790,0,0,0,1,Yes,19,Normal
BKG00056,23-02-2024,20-03-2024,26,Holiday Package,Domestic,Business,Mumbai,Bangalore,Website,Debit Card,46006,10,1,80,5,No,6,Normal
BKG00057,10-04-2024,30-05-2024,50,Hotel,Domestic,Couple,Mumbai,Mumbai,Website,NetBanking,18519,10,0,0,5,No,18,Christmas
BKG00058,31-03-2024,17-06-2024,78,Hotel,International,Family,Chennai,Bangkok,Website,Wallet,14653.8,20,0,0,4,No,20,Normal
BKG00059,13-02-2024,08-04-2024,55,Holiday Package,Domestic,Couple,Delhi,Hyderabad,Website,Wallet,78887,10,0,0,1,Yes,12,Summer
BKG00060,02-11-2024,14-01-2025,73,Train,International,Couple,Delhi,London,App,Credit Card,2257.2,20,0,0,2,No,6,Normal
BKG00061,02-02-2024,03-04-2024,61,Train,International,Solo,Delhi,Dubai,Website,NetBanking,3493.8,15,0,0,3,Yes,22,Diwali
BKG00062,19-01-2024,29-02-2024,41,Holiday Package,International,Couple,Mumbai,Dubai,App,Credit Card,27325.8,15,0,0,3,No,22,Normal
BKG00063,04-04-2024,23-06-2024,80,Holiday Package,International,Couple,Mumbai,London,Website,Credit Card,44654.4,20,1,80,3,Yes,15,Normal
BKG00064,13-03-2025,22-03-2025,9,Flight,International,Solo,Chennai,Singapore,App,UPI,25297.2,20,0,0,4,No,1,Christmas
BKG00065,28-02-2024,19-05-2024,81,Flight,Domestic,Solo,Delhi,Goa,App,UPI,9060,5,0,0,3,No,10,Normal
BKG00066,18-10-2024,20-11-2024,33,Train,Domestic,Business,Chennai,Goa,Website,UPI,2195,5,0,0,4,No,14,Normal
BKG00067,11-07-2025,18-09-2025,69,Train,Domestic,Family,Delhi,Mumbai,Website,NetBanking,2271,0,0,0,3,Yes,9,Summer
BKG00068,03-12-2024,26-01-2025,54,Hotel,Domestic,Family,Hyderabad,Delhi,App,UPI,5417,10,1,80,1,No,0,Normal
BKG00069,17-02-2024,20-02-2024,3,Train,International,Family,Bangalore,London,Website,Credit Card,8766,0,0,0,5,No,0,Normal
BKG00070,16-10-2025,01-12-2025,46,Train,International,Couple,Bangalore,London,Website,NetBanking,2860.2,5,1,80,1,Yes,6,Normal
BKG00071,26-12-2024,02-03-2025,66,Flight,International,Couple,Bangalore,Singapore,Website,Credit Card,25365.6,20,0,0,1,No,15,Normal
BKG00072,31-03-2024,12-06-2024,73,Train,Domestic,Couple,Bangalore,Chennai,Website,NetBanking,4417,10,0,0,2,No,21,Normal
BKG00073,14-12-2024,02-02-2025,50,Flight,Domestic,Couple,Chennai,Mumbai,App,UPI,12872,5,0,0,2,Yes,6,Normal
BKG00074,15-12-2024,10-03-2025,85,Train,Domestic,Couple,Bangalore,Hyderabad,App,Debit Card,2623,20,1,80,2,No,0,Diwali
BKG00075,25-01-2025,10-02-2025,16,Train,International,Solo,Chennai,London,Website,NetBanking,6260.4,20,0,0,2,No,22,Normal
BKG00076,24-06-2024,11-07-2024,17,Train,International,Business,Mumbai,Bangkok,Website,Credit Card,4309.2,5,0,0,5,Yes,16,Normal
BKG00077,25-05-2025,03-07-2025,39,Hotel,Domestic,Family,Chennai,Jaipur,Website,Credit Card,23468,10,0,0,4,Yes,23,Christmas
BKG00078,08-05-2024,11-05-2024,3,Flight,International,Solo,Bangalore,Bangkok,Website,Debit Card,17533.8,5,0,0,1,No,7,Normal
BKG00079,17-03-2024,11-05-2024,55,Holiday Package,Domestic,Family,Hyderabad,Delhi,App,Credit Card,59922,10,0,0,4,No,7,Diwali
BKG00080,22-11-2024,27-01-2025,66,Train,International,Business,Mumbai,Bangkok,Website,UPI,7227,10,0,0,3,No,5,Normal
BKG00081,16-05-2025,06-07-2025,51,Flight,International,Family,Hyderabad,London,App,Credit Card,16507.8,0,1,80,3,Yes,16,Normal
BKG00082,16-02-2025,20-03-2025,32,Flight,International,Couple,Delhi,Singapore,App,Debit Card,5842.8,0,0,0,5,No,10,Diwali
BKG00083,09-07-2025,22-07-2025,13,Flight,Domestic,Solo,Delhi,Goa,Website,NetBanking,13034,5,0,0,1,Yes,9,Normal
BKG00084,23-08-2024,22-09-2024,30,Flight,International,Couple,Delhi,Singapore,App,UPI,7660.8,15,0,0,1,No,0,Christmas
BKG00085,25-05-2025,03-07-2025,39,Train,International,Family,Mumbai,Bangkok,App,Wallet,7488,10,0,0,5,Yes,7,Normal
BKG00086,16-04-2024,05-06-2024,50,Holiday Package,International,Family,Mumbai,Dubai,App,NetBanking,62926.2,0,0,0,2,No,20,Normal
BKG00087,29-06-2024,19-09-2024,82,Hotel,Domestic,Couple,Delhi,Bangalore,Website,UPI,5817,5,0,0,5,Yes,9,Normal
BKG00088,10-12-2024,26-02-2025,78,Train,Domestic,Couple,Bangalore,Hyderabad,App,UPI,2742,0,0,0,2,Yes,3,Normal
BKG00089,25-08-2025,19-11-2025,86,Flight,Domestic,Business,Mumbai,Jaipur,App,Credit Card,13529,0,1,80,2,No,15,Normal
BKG00090,31-12-2024,19-01-2025,19,Train,International,Couple,Delhi,Singapore,Website,UPI,2154.6,20,0,0,2,Yes,0,Normal
BKG00091,09-11-2024,21-01-2025,73,Hotel,International,Solo,Chennai,Singapore,App,Debit Card,24253.2,5,0,0,1,Yes,13,Normal
BKG00092,14-08-2024,05-09-2024,22,Train,Domestic,Family,Chennai,Goa,Website,Debit Card,4246,10,0,0,5,Yes,11,Normal
BKG00093,31-01-2024,26-02-2024,26,Hotel,Domestic,Business,Hyderabad,Jaipur,App,Credit Card,17476,20,0,0,3,No,7,Christmas
BKG00094,22-06-2024,08-08-2024,47,Flight,Domestic,Business,Hyderabad,Jaipur,App,Credit Card,14756,10,0,0,5,Yes,14,Diwali
BKG00095,20-11-2025,09-12-2025,19,Hotel,Domestic,Couple,Bangalore,Jaipur,App,Wallet,6794,10,0,0,3,No,18,Normal
BKG00096,21-11-2025,25-01-2026,65,Flight,International,Family,Mumbai,Bangkok,Website,Wallet,11516.4,0,0,0,5,No,0,Diwali
BKG00097,08-09-2025,15-11-2025,68,Holiday Package,Domestic,Couple,Delhi,Delhi,App,Debit Card,28187,20,0,0,1,No,16,Normal
BKG00098,07-09-2025,18-10-2025,41,Train,Domestic,Family,Chennai,Hyderabad,Website,UPI,2574,10,0,0,3,Yes,6,Normal
BKG00099,02-09-2024,21-10-2024,49,Flight,International,Business,Mumbai,London,Website,Credit Card,25983,15,0,0,1,Yes,15,Normal
BKG00100,07-02-2025,18-02-2025,11,Train,Domestic,Couple,Mumbai,Hyderabad,Website,NetBanking,1710,10,0,0,1,Yes,23,Normal
BKG00101,24-01-2024,06-03-2024,42,Holiday Package,Domestic,Family,Bangalore,Hyderabad,App,UPI,54630,10,0,0,3,No,4,Diwali
BKG00102,19-07-2024,23-09-2024,66,Flight,Domestic,Couple,Delhi,Delhi,App,Wallet,11866,0,0,0,5,Yes,8,Normal
BKG00103,04-08-2025,18-09-2025,45,Hotel,Domestic,Solo,Hyderabad,Mumbai,App,Credit Card,24376,5,0,0,5,No,0,Normal
BKG00104,26-11-2024,01-01-2025,36,Flight,International,Solo,Bangalore,Singapore,Website,UPI,11395.8,0,0,0,5,No,8,Normal
BKG00105,17-07-2025,16-09-2025,61,Hotel,International,Family,Bangalore,Bangkok,App,Wallet,6219,0,1,80,5,Yes,13,Normal
BKG00106,12-11-2025,03-02-2026,83,Hotel,Domestic,Family,Chennai,Delhi,Website,Debit Card,24841,0,0,0,2,Yes,17,Normal
BKG00107,10-09-2024,16-10-2024,36,Flight,Domestic,Solo,Mumbai,Bangalore,App,NetBanking,11728,10,0,0,1,No,7,Diwali
BKG00108,10-08-2025,07-10-2025,58,Flight,Domestic,Solo,Hyderabad,Bangalore,Website,Wallet,3874,10,0,0,4,Yes,19,Diwali
BKG00109,21-05-2024,24-05-2024,3,Flight,International,Family,Hyderabad,London,App,Credit Card,17922.6,15,0,0,1,No,16,Normal
BKG00110,31-12-2024,24-02-2025,55,Flight,Domestic,Solo,Mumbai,Chennai,App,Debit Card,7679,0,0,0,5,Yes,19,Normal
BKG00111,06-02-2025,28-04-2025,81,Train,International,Business,Bangalore,Bangkok,Website,Debit Card,4962.6,15,0,0,5,Yes,10,Normal
BKG00112,08-04-2025,21-05-2025,43,Flight,Domestic,Solo,Bangalore,Delhi,Website,Credit Card,13807,15,0,0,4,Yes,12,Diwali
BKG00113,22-06-2024,13-08-2024,52,Hotel,Domestic,Solo,Hyderabad,Bangalore,App,UPI,21113,20,1,80,4,Yes,4,Summer
BKG00114,13-12-2025,01-01-2026,19,Train,International,Business,Mumbai,Singapore,Website,Credit Card,6696,20,1,80,2,Yes,22,Normal
BKG00115,05-06-2024,12-06-2024,7,Flight,Domestic,Family,Delhi,Jaipur,Website,NetBanking,4671,10,0,0,1,Yes,1,Normal
BKG00116,05-10-2025,12-12-2025,68,Train,International,Solo,Chennai,Dubai,Website,Credit Card,6476.4,5,1,80,4,No,19,Normal
BKG00117,25-05-2025,11-06-2025,17,Hotel,International,Solo,Chennai,Dubai,App,Wallet,9826.2,0,1,80,2,Yes,16,Normal
BKG00118,12-10-2024,23-10-2024,11,Holiday Package,Domestic,Family,Delhi,Goa,App,NetBanking,63868,20,0,0,4,No,7,Normal
BKG00119,09-11-2024,07-01-2025,59,Hotel,Domestic,Couple,Bangalore,Delhi,App,NetBanking,13869,5,1,80,2,Yes,21,Normal
BKG00120,20-02-2024,26-02-2024,6,Train,International,Solo,Chennai,Dubai,App,Credit Card,2887.2,0,0,0,4,Yes,19,Normal
BKG00121,30-10-2025,22-11-2025,23,Train,International,Family,Chennai,Dubai,App,Credit Card,6541.2,20,1,80,3,Yes,0,Christmas
BKG00122,23-10-2024,26-11-2024,34,Train,International,Couple,Hyderabad,London,Website,Debit Card,5405.4,10,1,80,2,No,23,Normal
BKG00123,04-09-2024,01-10-2024,27,Holiday Package,Domestic,Couple,Mumbai,Mumbai,App,Debit Card,15500,10,0,0,5,Yes,6,Normal
BKG00124,11-01-2024,07-02-2024,27,Holiday Package,Domestic,Couple,Delhi,Jaipur,Website,Debit Card,38261,0,0,0,1,Yes,19,Normal
BKG00125,14-09-2024,13-12-2024,90,Holiday Package,International,Business,Bangalore,Dubai,Website,UPI,62150.4,5,0,0,4,No,5,Summer
BKG00126,09-11-2025,16-11-2025,7,Train,International,Couple,Hyderabad,Singapore,App,Debit Card,5340.6,0,0,0,3,Yes,2,Summer
BKG00127,18-01-2024,18-03-2024,60,Flight,Domestic,Business,Delhi,Bangalore,App,UPI,4438,15,1,80,1,Yes,20,Summer
BKG00128,08-10-2025,02-01-2026,86,Train,International,Family,Delhi,Dubai,Website,NetBanking,5466.6,5,1,80,3,No,7,Normal
BKG00129,27-04-2024,06-07-2024,70,Flight,Domestic,Couple,Delhi,Chennai,Website,Debit Card,8430,10,0,0,1,No,2,Normal
BKG00130,17-11-2025,29-11-2025,12,Hotel,Domestic,Business,Hyderabad,Chennai,App,NetBanking,10691,5,0,0,5,No,8,Normal
BKG00131,07-09-2025,20-09-2025,13,Hotel,Domestic,Couple,Chennai,Delhi,App,UPI,10281,5,0,0,1,No,3,Normal
BKG00132,26-09-2024,08-12-2024,73,Train,International,Solo,Mumbai,London,App,NetBanking,8668.8,20,0,0,5,Yes,21,Normal
BKG00133,24-02-2025,23-03-2025,27,Holiday Package,International,Solo,Bangalore,Singapore,App,UPI,135124.2,0,0,0,1,No,1,Normal
BKG00134,08-10-2024,09-10-2024,1,Train,International,Family,Bangalore,London,App,Credit Card,6339.6,5,0,0,5,No,22,Diwali
BKG00135,15-09-2024,31-10-2024,46,Train,International,Business,Hyderabad,London,App,NetBanking,8967.6,10,1,80,5,Yes,1,Christmas
BKG00136,04-02-2025,31-03-2025,55,Train,International,Business,Chennai,Bangkok,Website,Wallet,6224.4,15,0,0,1,No,12,Normal
BKG00137,07-09-2025,29-11-2025,83,Hotel,Domestic,Couple,Mumbai,Chennai,Website,Wallet,12940,0,0,0,3,No,8,Normal
BKG00138,30-03-2025,07-04-2025,8,Train,International,Solo,Hyderabad,Dubai,Website,UPI,6759,20,0,0,3,No,11,Summer
BKG00139,21-11-2024,17-02-2025,88,Train,Domestic,Business,Hyderabad,Delhi,App,Wallet,2915,15,0,0,1,Yes,12,Normal
BKG00140,03-02-2025,06-02-2025,3,Hotel,International,Business,Delhi,Dubai,Website,NetBanking,17157.6,20,1,80,3,No,1,Diwali
BKG00141,31-07-2024,14-10-2024,75,Flight,International,Business,Delhi,Singapore,App,NetBanking,16716.6,15,1,80,3,Yes,15,Normal
BKG00142,10-10-2025,04-01-2026,86,Hotel,Domestic,Business,Mumbai,Mumbai,App,Wallet,4959,20,0,0,3,Yes,1,Normal
BKG00143,03-10-2024,02-12-2024,60,Flight,Domestic,Solo,Hyderabad,Goa,App,Debit Card,10657,15,0,0,4,No,11,Normal
BKG00144,11-06-2025,24-07-2025,43,Flight,International,Solo,Delhi,Singapore,App,NetBanking,15571.8,20,0,0,4,No,23,Normal
BKG00145,12-02-2024,11-03-2024,28,Flight,Domestic,Business,Delhi,Jaipur,Website,UPI,14042,20,0,0,5,Yes,16,Diwali
BKG00146,06-08-2024,09-08-2024,3,Flight,International,Business,Mumbai,Dubai,Website,Credit Card,16749,20,0,0,3,No,23,Normal
BKG00147,28-05-2025,02-08-2025,66,Train,International,Solo,Mumbai,Singapore,App,UPI,2732.4,10,0,0,4,Yes,22,Summer
BKG00148,06-08-2024,02-11-2024,88,Holiday Package,Domestic,Business,Bangalore,Chennai,App,UPI,51221,5,0,0,2,No,0,Normal
BKG00149,28-01-2025,28-03-2025,59,Holiday Package,Domestic,Family,Delhi,Mumbai,Website,UPI,72492,15,0,0,1,Yes,4,Diwali
BKG00150,21-05-2025,20-07-2025,60,Holiday Package,International,Couple,Hyderabad,Singapore,Website,Credit Card,96442.2,10,0,0,3,Yes,23,Normal
BKG00151,12-06-2025,01-08-2025,50,Hotel,Domestic,Solo,Delhi,Chennai,Website,Debit Card,21454,15,1,80,2,Yes,10,Normal
BKG00152,12-10-2024,05-12-2024,54,Holiday Package,Domestic,Couple,Mumbai,Chennai,Website,Debit Card,71886,20,0,0,5,Yes,10,Normal
BKG00153,10-06-2024,23-08-2024,74,Hotel,Domestic,Business,Delhi,Mumbai,Website,Debit Card,9565,0,0,0,2,No,2,Christmas
BKG00154,14-12-2025,04-02-2026,52,Flight,International,Business,Bangalore,London,Website,Wallet,18046.8,20,0,0,4,Yes,17,Normal
BKG00155,17-07-2024,08-08-2024,22,Flight,Domestic,Family,Delhi,Mumbai,App,Wallet,6061,0,1,80,1,Yes,14,Summer
BKG00156,28-12-2024,17-01-2025,20,Flight,International,Family,Hyderabad,London,App,UPI,10528.2,15,0,0,5,Yes,5,Normal
BKG00157,18-12-2024,19-12-2024,1,Flight,Domestic,Family,Delhi,Goa,Website,UPI,13241,10,0,0,3,No,20,Normal
BKG00158,05-08-2024,18-08-2024,13,Hotel,Domestic,Business,Chennai,Bangalore,App,Credit Card,9834,10,0,0,4,Yes,20,Christmas
BKG00159,05-10-2024,08-12-2024,64,Hotel,International,Family,Bangalore,Singapore,Website,Credit Card,25902,20,0,0,5,No,18,Normal
BKG00160,05-02-2025,03-05-2025,87,Holiday Package,Domestic,Family,Chennai,Chennai,Website,NetBanking,36379,20,0,0,2,No,7,Summer
BKG00161,25-02-2024,27-04-2024,62,Hotel,Domestic,Business,Hyderabad,Jaipur,App,UPI,16817,5,0,0,3,No,17,Summer
BKG00162,07-07-2025,05-10-2025,90,Flight,Domestic,Family,Hyderabad,Goa,Website,Credit Card,4203,15,0,0,5,Yes,5,Normal
BKG00163,29-10-2025,15-11-2025,17,Hotel,International,Couple,Hyderabad,Bangkok,Website,Credit Card,36144,15,0,0,4,Yes,8,Normal
BKG00164,25-09-2024,28-10-2024,33,Flight,International,Couple,Mumbai,Singapore,Website,Wallet,22383,5,0,0,3,No,18,Normal
BKG00165,23-09-2025,01-11-2025,39,Flight,Domestic,Family,Bangalore,Chennai,App,Wallet,5314,0,0,0,5,Yes,13,Summer
BKG00166,11-11-2024,08-02-2025,89,Train,Domestic,Family,Delhi,Hyderabad,Website,Wallet,2279,10,1,80,2,Yes,13,Normal
BKG00167,12-01-2025,15-03-2025,62,Train,Domestic,Family,Delhi,Mumbai,Website,Debit Card,4096,0,0,0,2,Yes,21,Normal
BKG00168,18-06-2024,21-08-2024,64,Train,International,Solo,Mumbai,Bangkok,Website,UPI,2181.6,5,0,0,2,No,18,Normal
BKG00169,18-01-2024,15-04-2024,88,Flight,International,Family,Chennai,Dubai,App,Debit Card,15332.4,0,0,0,1,No,14,Normal
BKG00170,10-07-2025,25-08-2025,46,Flight,Domestic,Family,Bangalore,Mumbai,App,Wallet,3069,10,0,0,3,No,6,Summer
BKG00171,08-05-2025,05-08-2025,89,Hotel,International,Couple,Hyderabad,Dubai,App,NetBanking,28476,0,0,0,5,Yes,15,Summer
BKG00172,22-03-2025,13-06-2025,83,Train,International,Business,Chennai,Dubai,Website,Wallet,8812.8,15,0,0,3,No,13,Christmas
BKG00173,18-07-2024,26-09-2024,70,Train,International,Couple,Mumbai,Singapore,App,Debit Card,2482.2,10,0,0,3,Yes,12,Normal
BKG00174,12-11-2025,21-01-2026,70,Train,Domestic,Solo,Delhi,Chennai,App,NetBanking,4158,10,0,0,1,Yes,4,Normal
BKG00175,01-03-2024,14-05-2024,74,Flight,Domestic,Business,Mumbai,Jaipur,App,Debit Card,10947,20,0,0,2,No,5,Summer
BKG00176,20-01-2025,12-03-2025,51,Hotel,International,Solo,Chennai,Dubai,App,Wallet,40096.8,15,0,0,5,No,17,Summer
BKG00177,20-12-2025,15-03-2026,85,Flight,Domestic,Solo,Chennai,Hyderabad,Website,Credit Card,7512,10,0,0,1,No,5,Normal
BKG00178,21-11-2024,05-12-2024,14,Train,International,Solo,Hyderabad,London,Website,NetBanking,3193.2,5,0,0,3,Yes,5,Normal
BKG00179,26-11-2024,28-11-2024,2,Flight,International,Solo,Mumbai,Singapore,Website,Debit Card,12202.2,10,1,80,5,Yes,15,Normal
BKG00180,11-09-2024,17-10-2024,36,Flight,International,Business,Bangalore,Bangkok,Website,Credit Card,19125,15,0,0,3,No,15,Christmas
BKG00181,06-01-2025,15-03-2025,68,Hotel,International,Business,Delhi,Bangkok,App,NetBanking,19072.8,5,0,0,2,No,4,Normal
BKG00182,19-12-2025,17-03-2026,88,Train,Domestic,Couple,Chennai,Mumbai,App,NetBanking,1829,0,0,0,1,Yes,19,Normal
BKG00183,24-08-2024,23-10-2024,60,Flight,Domestic,Solo,Bangalore,Jaipur,Website,Credit Card,4541,15,1,80,3,Yes,1,Normal
BKG00184,24-06-2024,04-09-2024,72,Hotel,International,Business,Hyderabad,Singapore,App,Credit Card,26082,0,1,80,3,No,20,Summer
BKG00185,20-10-2025,22-12-2025,63,Train,International,Couple,Delhi,London,App,NetBanking,3628.8,0,0,0,5,No,20,Normal
BKG00186,26-08-2025,12-09-2025,17,Holiday Package,International,Business,Hyderabad,Singapore,Website,UPI,51276.6,0,0,0,5,Yes,12,Normal
BKG00187,05-03-2024,24-04-2024,50,Train,Domestic,Couple,Chennai,Hyderabad,Website,NetBanking,1413,0,1,80,1,No,21,Normal
